Mon Apr 19 00:00:00 EDT 2004,1048981.2483142093,[CMG.TO, BR.TO, WJX.TO, PSI.TO, CGY.TO, OTEX.TO, GDL.TO, PEY.TO, CTC.TO, RET.TO, ACD.TO, MFC.TO, SU.TO, POW.TO, CIGI.TO, MRD.TO, HSE.TO, CCA.TO, BLX.TO, FTS.TO, SXI.TO, SPB.TO, IPL.TO, FCR.TO, CGO.TO, AQN.TO, T.TO, BAM, PNR, SCI, MON, L, CUK, NVO, CHE, DVA, KYO, PHI, HRS, AON, WAT, ITT, OXY, HRL, TMK, MMP, CW, SBR, BLL, ADM, CSL, DEO, KMB, FE, PCG, SMG, AVY, NSC, CNI, FDX, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
Mon Apr 26 00:00:00 EDT 2004,1046746.2113730481,[CMG.TO, BR.TO, WJX.TO, PSI.TO, CGY.TO, OTEX.TO, GDL.TO, PEY.TO, CTC.TO, RET.TO, ACD.TO, MFC.TO, SU.TO, POW.TO, CIGI.TO, MRD.TO, HSE.TO, CCA.TO, BLX.TO, FTS.TO, SXI.TO, SPB.TO, IPL.TO, FCR.TO, CGO.TO, AQN.TO, T.TO, BAM, PNR, SCI, MON, L, CUK, NVO, CHE, DVA, KYO, PHI, HRS, AON, WAT, ITT, OXY, HRL, TMK, MMP, CW, SBR, BLL, ADM, CSL, DEO, KMB, FE, PCG, SMG, AVY, NSC, CNI, FDX, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
Mon May 03 00:00:00 EDT 2004,1039611.2820692128,[CMG.TO, BR.TO, WJX.TO, PSI.TO, CGY.TO, OTEX.TO, GDL.TO, PEY.TO, CTC.TO, RET.TO, ACD.TO, MFC.TO, SU.TO, POW.TO, CIGI.TO, MRD.TO, HSE.TO, CCA.TO, BLX.TO, FTS.TO, SXI.TO, SPB.TO, IPL.TO, FCR.TO, CGO.TO, AQN.TO, T.TO, BAM, PNR, SCI, MON, L, CUK, NVO, CHE, DVA, KYO, PHI, HRS, AON, WAT, ITT, OXY, HRL, TMK, MMP, CW, SBR, BLL, ADM, CSL, DEO, KMB, FE, PCG, SMG, AVY, NSC, CNI, FDX, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
Mon May 03 00:00:00 EDT 2004,1039611.282069213,[CMG.TO, PSI.TO, ACD.TO, GDL.TO, BR.TO, CGY.TO, WJX.TO, ENGH.TO, PEY.TO, CTC.TO, MRD.TO, MEQ.TO, VET.TO, MFC.TO, CCA.TO, SU.TO, POW.TO, RET.TO, CGO.TO, CIGI.TO, BLX.TO, SXI.TO, IPL.TO, FTS.TO, ENB.TO, AQN.TO, T.TO, SCI, L, NVO, PNR, WAT, OXY, MON, KYO, BAM, RENX, BP, COP, DVA, INGR, SYK, PHI, KMB, CW, BAP, ITT, ADM, IEX, AON, AVY, SJM, VZ, SRE, SON, UN, NSC, UL, CNI, FDX, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
Mon May 10 00:00:00 EDT 2004,1036882.232097476,[CMG.TO, PSI.TO, ACD.TO, GDL.TO, BR.TO, CGY.TO, WJX.TO, ENGH.TO, PEY.TO, CTC.TO, MRD.TO, MEQ.TO, VET.TO, MFC.TO, CCA.TO, SU.TO, POW.TO, RET.TO, CGO.TO, CIGI.TO, BLX.TO, SXI.TO, IPL.TO, FTS.TO, ENB.TO, AQN.TO, T.TO, SCI, L, NVO, PNR, WAT, OXY, MON, KYO, BAM, RENX, BP, COP, DVA, INGR, SYK, PHI, KMB, CW, BAP, ITT, ADM, IEX, AON, AVY, SJM, VZ, SRE, SON, UN, NSC, UL, CNI, FDX, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
Mon May 17 00:00:00 EDT 2004,1040919.2171784426,[CMG.TO, PSI.TO, ACD.TO, GDL.TO, BR.TO, CGY.TO, WJX.TO, ENGH.TO, PEY.TO, CTC.TO, MRD.TO, MEQ.TO, VET.TO, MFC.TO, CCA.TO, SU.TO, POW.TO, RET.TO, CGO.TO, CIGI.TO, BLX.TO, SXI.TO, IPL.TO, FTS.TO, ENB.TO, AQN.TO, T.TO, SCI, L, NVO, PNR, WAT, OXY, MON, KYO, BAM, RENX, BP, COP, DVA, INGR, SYK, PHI, KMB, CW, BAP, ITT, ADM, IEX, AON, AVY, SJM, VZ, SRE, SON, UN, NSC, UL, CNI, FDX, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
Mon May 24 00:00:00 EDT 2004,1045465.1361201156,[CMG.TO, PSI.TO, ACD.TO, GDL.TO, BR.TO, CGY.TO, WJX.TO, ENGH.TO, PEY.TO, CTC.TO, MRD.TO, MEQ.TO, VET.TO, MFC.TO, CCA.TO, SU.TO, POW.TO, RET.TO, CGO.TO, CIGI.TO, BLX.TO, SXI.TO, IPL.TO, FTS.TO, ENB.TO, AQN.TO, T.TO, SCI, L, NVO, PNR, WAT, OXY, MON, KYO, BAM, RENX, BP, COP, DVA, INGR, SYK, PHI, KMB, CW, BAP, ITT, ADM, IEX, AON, AVY, SJM, VZ, SRE, SON, UN, NSC, UL, CNI, FDX, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
Mon May 31 00:00:00 EDT 2004,1050552.4389970165,[CMG.TO, PSI.TO, ACD.TO, GDL.TO, BR.TO, CGY.TO, WJX.TO, ENGH.TO, PEY.TO, CTC.TO, MRD.TO, MEQ.TO, VET.TO, MFC.TO, CCA.TO, SU.TO, POW.TO, RET.TO, CGO.TO, CIGI.TO, BLX.TO, SXI.TO, IPL.TO, FTS.TO, ENB.TO, AQN.TO, T.TO, SCI, L, NVO, PNR, WAT, OXY, MON, KYO, BAM, RENX, BP, COP, DVA, INGR, SYK, PHI, KMB, CW, BAP, ITT, ADM, IEX, AON, AVY, SJM, VZ, SRE, SON, UN, NSC, UL, CNI, FDX, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
Mon Jun 07 00:00:00 EDT 2004,1048010.8750886365,[CMG.TO, PSI.TO, ACD.TO, GDL.TO, BR.TO, CGY.TO, WJX.TO, ENGH.TO, PEY.TO, CTC.TO, MRD.TO, MEQ.TO, VET.TO, MFC.TO, CCA.TO, SU.TO, POW.TO, RET.TO, CGO.TO, CIGI.TO, BLX.TO, SXI.TO, IPL.TO, FTS.TO, ENB.TO, AQN.TO, T.TO, SCI, L, NVO, PNR, WAT, OXY, MON, KYO, BAM, RENX, BP, COP, DVA, INGR, SYK, PHI, KMB, CW, BAP, ITT, ADM, IEX, AON, AVY, SJM, VZ, SRE, SON, UN, NSC, UL, CNI, FDX, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
Mon Jun 07 00:00:00 EDT 2004,1048010.875088637,[CMG.TO, ACD.TO, BR.TO, OTEX.TO, GDL.TO, RET.TO, CCA.TO, ENGH.TO, CTC.TO, MEQ.TO, PSI.TO, MFC.TO, RUS.TO, VET.TO, PEY.TO, CGO.TO, CIGI.TO, POW.TO, ARX.TO, MRD.TO, BLX.TO, KEY.TO, SPB.TO, SXI.TO, IPL.TO, AQN.TO, BCE.TO, TTC, PNR, CHE, WAT, NVO, L, BAM, KYO, PHI, SYK, AMT, INGR, SCI, COP, SBR, AON, MON, WRB, HRS, BLL, VFC, BP, SRE, HSY, BT, UN, KMB, ITW, ECL, SON, NSC, FDX, CNI, LQD, TIP, TLT, XIC.TO, XSB.TO, XBB.TO]
